 SCRIPT: N04_all_objects

   owner    |        object_name         | object_type | subobject_name | object_id | data_object_id |  status  
------------+----------------------------+-------------+----------------+-----------+----------------+----------
 cron       | job                        | table       |                |     16651 |                | active
 cron       | job_pkey                   | index       |                |     16661 |                | inactive
 cron       | job_run_details            | table       |                |     16670 |                | inactive
 cron       | job_run_details_pkey       | index       |                |     16676 |                | inactive
 cron       | jobid_seq                  | sequence    |                |     16650 |                | inactive
 cron       | jobname_username_uniq      | index       |                |     16686 |                | inactive
 cron       | runid_seq                  | sequence    |                |     16669 |                | inactive
 pg_toast   | pg_toast_1213              | toast       |                |      4185 |                | inactive
 pg_toast   | pg_toast_1213_index        | index       |                |      4186 |                | inactive
 pg_toast   | pg_toast_1247              | toast       |                |      4171 |                | inactive
 pg_toast   | pg_toast_1247_index        | index       |                |      4172 |                | inactive
 pg_toast   | pg_toast_1255              | toast       |                |      2836 |                | inactive
 pg_toast   | pg_toast_1255_index        | index       |                |      2837 |                | inactive
 pg_toast   | pg_toast_1260              | toast       |                |      4175 |                | inactive
 pg_toast   | pg_toast_1260_index        | index       |                |      4176 |                | inactive
 pg_toast   | pg_toast_1262              | toast       |                |      4177 |                | inactive
 pg_toast   | pg_toast_1262_index        | index       |                |      4178 |                | inactive
 pg_toast   | pg_toast_1417              | toast       |                |      4151 |                | inactive
 pg_toast   | pg_toast_1417_index        | index       |                |      4152 |                | inactive
 pg_toast   | pg_toast_1418              | toast       |                |      4173 |                | inactive
 pg_toast   | pg_toast_1418_index        | index       |                |      4174 |                | inactive
 pg_toast   | pg_toast_14376             | toast       |                |     14379 |                | inactive
 pg_toast   | pg_toast_14376_index       | index       |                |     14380 |                | inactive
 pg_toast   | pg_toast_14381             | toast       |                |     14384 |                | inactive
 pg_toast   | pg_toast_14381_index       | index       |                |     14385 |                | inactive
 pg_toast   | pg_toast_14386             | toast       |                |     14389 |                | inactive
 pg_toast   | pg_toast_14386_index       | index       |                |     14390 |                | inactive
 pg_toast   | pg_toast_14391             | toast       |                |     14394 |                | inactive
 pg_toast   | pg_toast_14391_index       | index       |                |     14395 |                | inactive
 pg_toast   | pg_toast_16651             | toast       |                |     16691 |                | inactive
 pg_toast   | pg_toast_16651_index       | index       |                |     16692 |                | inactive
 pg_toast   | pg_toast_16670             | toast       |                |     16674 |                | inactive
 pg_toast   | pg_toast_16670_index       | index       |                |     16675 |                | inactive
 pg_toast   | pg_toast_16697             | toast       |                |     16701 |                | inactive
 pg_toast   | pg_toast_16697_index       | index       |                |     16702 |                | inactive
 pg_toast   | pg_toast_16703             | toast       |                |     16706 |                | inactive
 pg_toast   | pg_toast_16703_index       | index       |                |     16707 |                | inactive
 pg_toast   | pg_toast_16708             | toast       |                |     16711 |                | inactive
 pg_toast   | pg_toast_16708_index       | index       |                |     16712 |                | inactive
 pg_toast   | pg_toast_2328              | toast       |                |      4149 |                | inactive
 pg_toast   | pg_toast_2328_index        | index       |                |      4150 |                | inactive
 pg_toast   | pg_toast_2396              | toast       |                |      2846 |                | inactive
 pg_toast   | pg_toast_2396_index        | index       |                |      2847 |                | inactive
 pg_toast   | pg_toast_2600              | toast       |                |      4159 |                | inactive
 pg_toast   | pg_toast_2600_index        | index       |                |      4160 |                | inactive
 pg_toast   | pg_toast_2604              | toast       |                |      2830 |                | inactive
 pg_toast   | pg_toast_2604_index        | index       |                |      2831 |                | inactive
 pg_toast   | pg_toast_2606              | toast       |                |      2832 |                | inactive
 pg_toast   | pg_toast_2606_index        | index       |                |      2833 |                | inactive
 pg_toast   | pg_toast_2609              | toast       |                |      2834 |                | inactive
 pg_toast   | pg_toast_2609_index        | index       |                |      2835 |                | inactive
 pg_toast   | pg_toast_2612              | toast       |                |      4157 |                | inactive
 pg_toast   | pg_toast_2612_index        | index       |                |      4158 |                | inactive
 pg_toast   | pg_toast_2615              | toast       |                |      4163 |                | inactive
 pg_toast   | pg_toast_2615_index        | index       |                |      4164 |                | inactive
 pg_toast   | pg_toast_2618              | toast       |                |      2838 |                | inactive
 pg_toast   | pg_toast_2618_index        | index       |                |      2839 |                | inactive
 pg_toast   | pg_toast_2619              | toast       |                |      2840 |                | inactive
 pg_toast   | pg_toast_2619_index        | index       |                |      2841 |                | inactive
 pg_toast   | pg_toast_2620              | toast       |                |      2336 |                | inactive
 pg_toast   | pg_toast_2620_index        | index       |                |      2337 |                | inactive
 pg_toast   | pg_toast_2964              | toast       |                |      2966 |                | inactive
 pg_toast   | pg_toast_2964_index        | index       |                |      2967 |                | inactive
 pg_toast   | pg_toast_3079              | toast       |                |      4147 |                | inactive
 pg_toast   | pg_toast_3079_index        | index       |                |      4148 |                | inactive
 pg_toast   | pg_toast_3118              | toast       |                |      4153 |                | inactive
 pg_toast   | pg_toast_3118_index        | index       |                |      4154 |                | inactive
 pg_toast   | pg_toast_3256              | toast       |                |      4167 |                | inactive
 pg_toast   | pg_toast_3256_index        | index       |                |      4168 |                | inactive
 pg_toast   | pg_toast_3350              | toast       |                |      4165 |                | inactive
 pg_toast   | pg_toast_3350_index        | index       |                |      4166 |                | inactive
